ID,Book_length_min,Book_length_char,Avg_rating,Rating_count,Review_score,Price,Discount,Total_minutes_listened,Completion,Support_requests,Target,Support_request
1143,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
2059,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,388,0,20
2882,1620.0,1620,5.96,5.96,0,8.91,0.42,680.4,1.0,129,0,20
3342,2160.0,2160,5.33,5.33,0,8.91,0.22,475.2,0.1,361,0,20
3416,2160.0,2160,4.61,4.61,0,8.91,0.0,0.0,0.1,0,0,0
4949,2160.0,2160,5.33,5.33,0,8.91,0.04,86.4,0.1,366,0,20
9011,648.0,648,5.33,5.33,0,8.91,0.0,0.0,0.1,0,1,0
9282,2160.0,2160,5.33,5.33,0,8.91,0.26,561.6,0.1,33,0,20
10500,2160.0,2160,5.33,5.33,1,10.0,0.27,583.2,0.1,366,0,20
12898,540.0,540,5.33,5.33,0,8.91,0.28,151.2,0.1,34,0,20
16370,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,0,1,0
16587,2160.0,2160,13.33,13.33,0,8.91,0.6,1296.0,0.1,98,0,20
18065,648.0,648,50.66,25.6,0,8.91,0.0,0.0,0.1,0,0,0
19313,2160.0,2160,7.03,7.03,0,8.91,0.0,0.0,0.1,0,0,0
19996,594.0,1188,29.33,25.6,0,10.0,0.0,0.0,0.1,0,1,0
20124,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,29,0,20
23153,1620.0,1620,11.68,11.68,1,8.0,0.71,1150.2,1.0,25,0,20
23372,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,1,0,1
23757,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,9,0,9
24187,1620.0,1620,14.29,14.29,1,7.0,0.43,696.6,0.1,66,0,20
25850,1620.0,1620,5.33,5.33,0,8.91,0.08,129.6,0.1,342,0,20
27030,1188.0,4752,6.0,23.99,0,10.0,0.0,0.0,0.1,176,1,20
27703,1620.0,1620,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
29095,1404.0,2808,27.99,25.6,0,8.91,0.0,0.0,0.1,0,1,0
31062,2160.0,2160,5.33,5.33,0,8.91,0.6,1296.0,0.1,228,0,20
33068,2160.0,2160,5.96,5.96,0,8.91,0.0,0.0,0.1,0,0,0
3330,1620.0,1620,16.99,16.99,0,8.91,0.33,534.6,0.1,364,0,20
3699,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,1,1,1
4943,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
5790,2160.0,2160,11.68,11.68,0,8.91,0.0,0.0,0.1,0,0,0
5829,1620.0,1620,6.11,6.11,0,8.91,0.12,194.4,0.1,8,0,8
7053,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
13555,2160.0,2160,12.8,12.8,1,8.0,0.19,410.4,0.1,1,0,1
14162,2160.0,2160,5.33,5.33,0,8.91,0.04,86.4,0.1,211,0,20
14292,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
17021,2160.0,2160,5.33,5.33,1,10.0,0.23,496.8,0.1,186,0,20
20156,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
20919,2160.0,2160,5.33,5.33,1,10.0,0.45,972.0,0.1,158,0,20
20998,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
24221,2160.0,2160,5.33,5.33,0,8.91,0.05,108.0,0.1,14,0,14
25167,2160.0,2160,5.33,5.33,0,8.91,0.07,151.2,0.1,149,0,20
25991,2160.0,2160,5.33,5.33,0,8.91,0.37,799.2,0.1,387,0,20
27323,2160.0,2160,4.1,4.18,0,8.91,0.0,0.0,0.1,39,0,20
28685,1620.0,1620,6.04,6.04,0,8.91,0.64,1036.8,1.0,7,0,7
4481,2160.0,2160,5.33,5.33,0,8.91,0.08,172.8,0.1,344,0,20
4722,1332.0,3996,5.33,15.99,0,8.91,0.0,0.0,0.1,86,1,20
10753,2160.0,2160,11.35,11.35,0,8.91,0.1,216.0,0.1,323,0,20
12413,756.0,1512,8.73,17.47,0,8.91,0.0,0.0,0.1,0,1,0
13440,1620.0,1620,5.33,5.33,0,8.91,0.68,1101.6,0.1,371,0,20
14255,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
15384,1620.0,1620,9.77,9.77,1,9.0,0.78,1263.6,0.1,383,0,20
17321,1404.0,2808,11.35,22.7,0,10.0,0.0,0.0,0.1,209,1,20
18755,2160.0,2160,10.98,10.98,0,8.91,0.0,0.0,0.1,351,1,20
21533,648.0,648,10.13,10.13,0,8.91,0.0,0.0,0.1,313,0,20
22234,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
28285,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
29567,1620.0,1620,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
31263,2160.0,2160,5.33,5.33,0,8.91,0.03,64.8,0.1,12,0,12
31659,1620.0,1620,5.33,5.33,0,8.91,0.0,0.0,0.1,97,0,20
31982,2160.0,2160,5.33,5.33,1,10.0,0.0,0.0,0.1,266,1,20
3579,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,4,0,4
7585,2160.0,2160,9.77,9.77,0,8.91,0.0,0.0,0.1,0,0,0
8000,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,314,0,20
9829,1620.0,1620,5.33,5.33,0,8.91,0.06,97.2,0.1,273,0,20
11551,648.0,648,50.66,25.6,0,8.91,0.77,498.96,0.1,23,0,20
14333,2160.0,2160,10.98,10.98,1,9.0,0.0,0.0,0.1,136,1,20
19754,1620.0,1620,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
22381,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
23676,2160.0,2160,5.33,5.33,1,8.0,0.66,1425.6,0.1,379,0,20
31372,2160.0,2160,5.33,5.33,1,6.0,0.18,388.8,0.1,69,0,20
508,1080.0,1080,10.13,10.13,1,9.0,0.85,918.0,1.0,81,0,20
6123,324.0,324,10.13,10.13,1,9.0,0.72,233.28,0.1,0,0,0
10244,648.0,648,10.13,10.13,0,8.91,0.8,518.4,0.1,28,0,20
14843,648.0,648,5.33,5.33,0,8.91,0.48,311.04,0.1,198,0,20
16792,1188.0,3564,12.8,25.6,0,8.91,0.0,0.0,0.1,152,1,20
17056,1080.0,1080,10.13,10.13,1,8.0,0.0,0.0,1.0,1,1,1
17268,1080.0,1080,5.33,5.33,0,8.91,0.39,421.2,0.1,0,0,0
19864,540.0,540,6.11,6.11,1,10.0,0.55,297.0,0.1,48,0,20
